EmissãoNotaFiscal,Marca,Local,Venda,Custo,Desconto,CustoDeEntrega,CustoDeMaoDeObra,Cliente,Model,Color,Year
04-10-2016,Royce,São Paulo,95000,50000,500.0,750.0,750,Aldo Motors,Camargue,Vermelho,2016
02-02-2016,Royce,São Paulo,88000,75000,750.0,1000.0,550,Bright Orange,Prata Ghost,Verde,2016
04-06-2016,Aston Martin,São Paulo,110000,56000,750.0,500.0,550,Bright Orange,DBS,Púrpura,2016
04-07-2016,Aston Martin,Minas Gerais,125000,23500,2500.0,1000.0,550,Les Arnaqueurs,DB7,Vermelho,2016
04-12-2016,Aston Martin,São Paulo,95000,155000,5000.0,1500.0,570,Bright Orange,Rapide,Preto,2016
02-05-2017,Royce,São Paulo,178500,75890,950.0,1750.0,321,Honest John,Prata Shadow,Vermelho,2017
02-07-2017,Royce,São Paulo,102500,62000,1750.0,500.0,987,Aldo Motors,Prata Ghost,Preto,2017
02-11-2017,Royce,São Paulo,130000,75890,750.0,1750.0,321,Cut'n'Shut,Prata Ghost,Vermelho,2017
02-05-2017,Aston Martin,São Paulo,102500,75890,0.01,500.0,852,Bright Orange,DB4,Prata,2017
02-06-2017,Aston Martin,São Paulo,178500,62000,750.0,450.0,654,Honest John,Vanquish,Prata,2017
02-07-2017,Aston Martin,São Paulo,124500,62000,1000.0,450.0,984,Aldo Motors,Vanquish,Verde,2017
02-08-2017,Aston Martin,São Paulo,130000,62000,1250.0,450.0,895,Aldo Motors,DB9,Azul,2017
01-01-2016,Jaguar,Rio de Janeiro,44000,25000,500.0,450.0,486,Rocky Riding,XK,Púrpura,2016
01-02-2016,Jaguar,Rio de Janeiro,45000,37500,500.0,450.0,486,Rocky Riding,XJ6,Verde,2016
01-03-2016,Jaguar,Espírito Santo,39500,25000,500.0,,486,Voitures Diplomatiques S.A.,XJ12,Preto,2016
01-04-2016,Jaguar,Minas Gerais,44000,37500,500.0,500.0,486,Les Arnaqueurs,XK,Prata,2016
01-05-2016,Jaguar,São Paulo,44000,25000,500.0,500.0,486,Bright Orange,XJ12,Prata,2016
01-06-2016,Jaguar,São Paulo,39500,37500,500.0,500.0,486,Honest John,XK,Azul,2016
01-07-2016,Jaguar,São Paulo,44000,25000,500.0,1750.0,486,Wheels'R'Us,XK,Verde,2016
01-08-2016,Jaguar,São Paulo,110000,50000,750.0,500.0,486,Cut'n'Shut,XJ12,Azul,2016
01-09-2016,Jaguar,Rio de Janeiro,110000,25000,750.0,1750.0,987,Rocky Riding,XJ12,Prata,2016
01-10-2016,Jaguar,Espírito Santo,44000,37500,750.0,1750.0,987,Voitures Diplomatiques S.A.,XJ6,Verde,2016
02-03-2017,Jaguar,São Paulo,39500,25000,750.0,500.0,987,Cut'n'Shut,XJ6,Vermelho,2017
02-04-2017,Jaguar,São Paulo,110000,37500,750.0,500.0,987,Wheels'R'Us,XJ6,Vermelho,2017
02-05-2017,Jaguar,São Paulo,44000,25000,750.0,500.0,987,Crippen & Co,XJ6,Vermelho,2017
02-06-2017,Jaguar,Espírito Santo,39500,37500,500.0,450.0,987,Voitures Diplomatiques S.A.,XK,Púrpura,2017
02-07-2017,Jaguar,Rio de Janeiro,39500,25000,500.0,450.0,750,Rocky Riding,XK,Verde,2017
02-08-2017,Jaguar,São Paulo,39500,12500,500.0,450.0,750,Crippen & Co,XK,Preto,2017
02-09-2017,Jaguar,Minas Gerais,39500,25000,500.0,500.0,750,Les Arnaqueurs,XK,Azul,2017
02-10-2017,Jaguar,São Paulo,39500,37500,750.0,500.0,750,Wheels'R'Us,XK,Prata,2017
02-11-2017,Jaguar,São Paulo,39500,25000,750.0,500.0,1250,Wheels'R'Us,XK,Prata,2017
02-12-2017,Jaguar,São Paulo,39500,37500,750.0,500.0,1250,Cut'n'Shut,XJ6,Verde,2017
01-01-2016,Bentley,São Paulo,39500,25700,750.0,500.0,1250,Cut'n'Shut,Continental,Azul,2016
01-02-2016,Bentley,São Paulo,44000,25700,750.0,500.0,1250,Bright Orange,Arnage,Azul,2016
01-03-2016,Bentley,São Paulo,44000,25700,750.0,500.0,987,Bright Orange,Azure,Vermelho,2016
01-04-2016,Bentley,São Paulo,110000,25700,750.0,775.0,1250,Honest John,Turbo R,Vermelho,2016
01-05-2016,Bentley,São Paulo,110000,62000,750.0,775.0,987,Honest John,Continental,Prata,2016
01-06-2016,Bentley,São Paulo,110000,62000,500.0,775.0,1250,Aldo Motors,Continental,Púrpura,2016
01-07-2016,Bentley,São Paulo,110000,25700,500.0,775.0,987,Aldo Motors,Continental,Verde,2016
01-08-2016,Bentley,Espírito Santo,110000,25700,500.0,775.0,1250,Voitures Diplomatiques S.A.,Azure,Preto,2016
01-09-2016,Bentley,Rio de Janeiro,44000,25700,500.0,775.0,987,Rocky Riding,Turbo R,Prata,2016
01-10-2016,Bentley,Minas Gerais,110000,62000,500.0,500.0,1250,Les Arnaqueurs,Continental,Prata,2016
01-11-2016,Bentley,São Paulo,44000,62000,500.0,450.0,987,Aldo Motors,Continental,Prata,2016
01-12-2016,Bentley,São Paulo,44000,62000,500.0,450.0,987,Honest John,Continental,Azul,2016
02-01-2017,Bentley,São Paulo,110000,25700,500.0,450.0,1250,Bright Orange,Continental,Azul,2017
02-02-2017,Bentley,São Paulo,110000,25700,500.0,500.0,750,Cut'n'Shut,Continental,Verde,2017
02-03-2017,Bentley,São Paulo,41250,25700,500.0,775.0,750,Wheels'R'Us,Azure,Azul,2017
02-04-2017,Bentley,Minas Gerais,110000,25700,500.0,775.0,750,Les Arnaqueurs,Turbo R,Vermelho,2017
02-05-2017,Bentley,São Paulo,39500,62000,500.0,775.0,750,Crippen & Co,Turbo R,Vermelho,2017
02-06-2017,Bentley,Rio de Janeiro,39500,62000,500.0,500.0,486,Rocky Riding,Continental,Vermelho,2017
02-07-2017,Bentley,São Paulo,39500,25700,500.0,500.0,486,Aldo Motors,Continental,Púrpura,2017
02-08-2017,Bentley,São Paulo,41250,62000,500.0,775.0,486,Honest John,Continental,Púrpura,2017
02-09-2017,Bentley,Minas Gerais,39500,62000,1250.0,450.0,486,Les Arnaqueurs,Continental,Verde,2017
02-10-2017,Bentley,São Paulo,44000,62000,1000.0,450.0,486,Wheels'R'Us,Continental,Preto,2017
02-11-2017,Bentley,São Paulo,44000,25700,1000.0,450.0,486,Honest John,Azure,Azul,2017
02-12-2017,Bentley,São Paulo,44000,25700,1000.0,450.0,486,Aldo Motors,Turbo R,Prata,2017
02-01-2017,Jaguar,Paraná,29750,37500,150.0,50.0,486,Costa Del Speed,XK,Vermelho,2017
02-02-2017,TVR,Bahia,41250,37500,150.0,50.0,325,Karz,Tuscan,Azul,2017
02-03-2017,Jaguar,Paraná,39500,37500,150.0,50.0,325,Costa Del Speed,XK,Verde,2017
02-04-2017,TVR,Bahia,29750,37500,150.0,50.0,325,Karz,Cerbera,Prata,2017
02-05-2017,Jaguar,Espírito Santo,120000,37500,150.0,50.0,325,Voitures Diplomatiques S.A.,XK,Prata,2017
02-06-2017,TVR,Rio de Janeiro,29750,37500,150.0,50.0,325,Rocky Riding,Tuscan,Azul,2017
02-07-2017,Jaguar,São Paulo,41250,37500,150.0,50.0,325,Honest John,XK,Prata,2017
02-08-2017,TVR,Minas Gerais,29750,37500,150.0,50.0,325,Les Arnaqueurs,Cerbera,Prata,2017
02-09-2017,Jaguar,São Paulo,39500,37500,150.0,50.0,325,Wheels'R'Us,XK,Verde,2017
02-10-2017,TVR,Rio de Janeiro,41250,37500,150.0,50.0,325,Rocky Riding,Tuscan,Azul,2017
02-11-2017,Jaguar,São Paulo,29750,37500,150.0,50.0,325,Wheels'R'Us,XK,Azul,2017
02-12-2017,Jaguar,São Paulo,41250,37500,150.0,50.0,325,Bright Orange,XJ6,Azul,2017
02-01-2017,Jaguar,São Paulo,39500,25700,150.0,50.0,250,Olde Englande,XJ6,Púrpura,2017
02-02-2017,Jaguar,São Paulo,39500,25700,150.0,50.0,250,Impressive Wheels,XJ6,Verde,2017
02-03-2017,Jaguar,São Paulo,39500,25700,150.0,50.0,250,Olde Englande,XJ6,Preto,2017
02-04-2017,Jaguar,São Paulo,39500,62000,150.0,50.0,250,Smooth Riders,XK,Azul,2017
02-05-2017,Jaguar,São Paulo,41250,62000,150.0,50.0,250,Luxury Rentals,XK,Prata,2017
02-06-2017,Jaguar,São Paulo,41250,25700,150.0,50.0,250,Premium Motor Vehicles,XJ6,Prata,2017
02-07-2017,Jaguar,São Paulo,39500,25700,150.0,50.0,250,Luxury Rentals,XJ6,Prata,2017
02-08-2017,Jaguar,São Paulo,39500,25700,150.0,50.0,250,Aldo Motors,XK,Prata,2017
02-09-2017,Jaguar,São Paulo,39500,62000,150.0,50.0,250,Honest John,XK,Prata,2017
02-10-2017,Jaguar,São Paulo,39500,25700,150.0,50.0,250,Honest John,XJ6,Prata,2017
02-11-2017,Jaguar,São Paulo,41250,62000,150.0,50.0,250,Bright Orange,XK,Azul,2017
02-12-2017,Jaguar,São Paulo,41250,62000,150.0,50.0,250,Cut'n'Shut,XK,Azul,2017
02-01-2017,MGB,São Paulo,39500,4500,150.0,50.0,325,Wheels'R'Us,GT,Verde,2017
02-02-2017,MGB,São Paulo,39500,8500,150.0,50.0,325,Olde Englande,GT,Verde,2017
02-03-2017,MGB,São Paulo,25250,4500,150.0,50.0,325,Wheels'R'Us,GT,Vermelho,2017
02-04-2017,MGB,São Paulo,22500,8500,150.0,50.0,325,Wheels'R'Us,GT,Vermelho,2017
02-05-2017,MGB,São Paulo,22500,4500,150.0,50.0,325,Cut'n'Shut,GT,Vermelho,2017
02-06-2017,MGB,São Paulo,22500,8500,150.0,50.0,325,Cut'n'Shut,GT,Vermelho,2017
02-07-2017,MGB,São Paulo,25250,4500,150.0,50.0,325,Bright Orange,GT,Azul,2017
02-08-2017,MGB,São Paulo,22500,8500,150.0,50.0,325,Honest John,GT,Verde,2017
02-09-2017,MGB,São Paulo,25250,4500,150.0,50.0,325,Aldo Motors,GT,Prata,2017
02-10-2017,MGB,São Paulo,22500,8500,150.0,50.0,325,Honest John,GT,Prata,2017
02-11-2017,MGB,São Paulo,25250,4500,150.0,50.0,325,Bright Orange,GT,Azul,2017
02-12-2017,MGB,São Paulo,22500,4500,150.0,50.0,325,Aldo Motors,GT,Verde,2017
02-01-2017,Triumph,São Paulo,22500,8500,150.0,50.0,325,Luxury Rentals,TR4,Preto,2017
02-02-2017,Triumph,São Paulo,25250,17000,150.0,50.0,325,Smooth Riders,TR5,Púrpura,2017
02-03-2017,Triumph,São Paulo,22500,8500,150.0,50.0,325,Honest John,TR7,Verde,2017
02-04-2017,Triumph,São Paulo,22500,17000,150.0,50.0,325,Impressive Wheels,TR4,Azul,2017
02-05-2017,Triumph,São Paulo,22500,8500,150.0,50.0,325,Bright Orange,TR4,Prata,2017
02-06-2017,Triumph,Paraná,22500,17000,150.0,50.0,325,Costa Del Speed,TR5,Prata,2017
02-07-2017,Triumph,São Paulo,25250,17000,150.0,50.0,325,Cut'n'Shut,TR5,Azul,2017
02-08-2017,Triumph,São Paulo,22500,17000,150.0,50.0,325,Wheels'R'Us,TR4,Azul,2017
02-09-2017,Triumph,São Paulo,25250,17000,150.0,50.0,325,Olde Englande,TR4,Vermelho,2017
02-10-2017,Triumph,São Paulo,25250,17000,150.0,50.0,325,Impressive Wheels,TR7,Vermelho,2017
02-11-2017,Triumph,São Paulo,25250,17000,150.0,50.0,325,Cut'n'Shut,TR4,Verde,2017
02-12-2017,Triumph,São Paulo,25250,17000,150.0,50.0,450,Bright Orange,TR5,Prata,2017
09-01-2017,Aston Martin,Minas Gerais,74500,31125,500.0,975.0,1250,Chateau Moi,DB7,Vermelho,2017
10-01-2017,Aston Martin,Minas Gerais,69250,17500,1250.0,975.0,1250,Vive la Vitesse!,DB7,Azul,2017
11-02-2017,Aston Martin,Minas Gerais,22750,22500,500.0,975.0,950,Carosse Des Papes,Vantage,Verde,2017
12-03-2017,Aston Martin,Espírito Santo,37000,17500,1000.0,975.0,1250,Three Country Cars,Vantage,Prata,2017
13-03-2017,Royce,Espírito Santo,74500,31125,750.0,975.0,1250,Jungfrau,Camargue,Prata,2017
14-03-2017,Aston Martin,Minas Gerais,45800,17500,1000.0,975.0,950,Chateau Moi,DB7,Azul,2017
15-04-2017,Royce,Minas Gerais,22750,22500,2500.0,350.0,1250,Vive la Vitesse!,Camargue,Preto,2017
16-04-2017,Aston Martin,Minas Gerais,45800,17500,1250.0,350.0,1250,Carosse Des Papes,Vantage,Vermelho,2017
17-05-2017,Aston Martin,Espírito Santo,37000,17500,1000.0,350.0,1250,Three Country Cars,DB7,Azul,2017
18-05-2017,Aston Martin,Espírito Santo,45800,17500,500.0,975.0,1250,Jungfrau,Vantage,Verde,2017
19-05-2017,Aston Martin,Minas Gerais,37690,22500,1000.0,975.0,950,Chateau Moi,DB7,Prata,2017
20-06-2017,Aston Martin,Minas Gerais,74500,17500,2500.0,975.0,1250,Vive la Vitesse!,Vantage,Prata,2017
21-07-2017,Royce,Minas Gerais,45800,17500,1250.0,975.0,1250,Carosse Des Papes,Camargue,Azul,2017
22-07-2017,Aston Martin,Espírito Santo,37000,22500,1000.0,275.0,1250,Three Country Cars,DB7,Preto,2017
23-09-2017,Aston Martin,Espírito Santo,37690,17500,1250.0,275.0,1250,Jungfrau,DB9,Vermelho,2017
24-10-2017,Royce,Espírito Santo,69250,17500,500.0,275.0,950,Jungfrau,Camargue,Azul,2017
25-11-2017,Aston Martin,Minas Gerais,37690,31125,1000.0,975.0,1250,Vive la Vitesse!,DB9,Verde,2017
26-11-2017,Aston Martin,Espírito Santo,74500,17500,750.0,975.0,1250,Jungfrau,DB7,Prata,2017
27-11-2017,Aston Martin,Minas Gerais,37690,17500,500.0,975.0,1250,Carosse Des Papes,DB9,Prata,2017
04-10-2018,Royce,São Paulo,97750,55000,550.0,725.0,750,Aldo Motors,Camargue,Prata,2018
01-01-2018,Aston Martin,São Paulo,122750,80000,50.0,1475.0,550,Honest John,DBS,Azul,2018
02-02-2018,Royce,São Paulo,90750,80000,800.0,975.0,550,Bright Orange,Prata Ghost,Verde,2018
03-03-2018,Royce,São Paulo,91750,93000,50.0,975.0,550,Honest John,Prata Ghost,Azul,2018
04-04-2018,Royce,São Paulo,94750,67000,50.0,1475.0,550,Wheels'R'Us,Camargue,Prata,2018
04-05-2018,Royce,São Paulo,105250,130000,50.0,975.0,550,Cut'n'Shut,Camargue,Verde,2018
04-06-2018,Aston Martin,São Paulo,112750,61000,800.0,475.0,550,Bright Orange,DBS,Púrpura,2018
04-07-2018,Aston Martin,Minas Gerais,127750,28500,2550.0,975.0,550,Les Arnaqueurs,DB7,Vermelho,2018
04-08-2018,Aston Martin,São Paulo,132750,20500,50.0,975.0,750,Aldo Motors,DB9,Azul,2018
04-09-2018,Aston Martin,São Paulo,77750,80890,50.0,975.0,750,Aldo Motors,DB9,Prata,2018
04-11-2018,Aston Martin,Minas Gerais,71250,104000,50.0,1475.0,750,Les Arnaqueurs,DB4,Azul,2018
04-11-2018,Aston Martin,São Paulo,97750,130000,50.0,1475.0,750,Wheels'R'Us,Vantage,Prata,2018
04-12-2018,Aston Martin,São Paulo,157750,130000,5050.0,1475.0,750,Bright Orange,Vanquish,Prata,2018
04-12-2018,Aston Martin,São Paulo,97750,160000,50.0,1475.0,570,Cut'n'Shut,Rapide,Preto,2018
02-01-2019,Aston Martin,Minas Gerais,181250,130000,50.0,1725.0,570,Les Arnaqueurs,Zagato,Verde,2019
02-02-2019,Royce,São Paulo,132750,67000,50.0,1725.0,570,Wheels'R'Us,Prata Ghost,Prata,2019
02-03-2019,Royce,São Paulo,181250,67000,50.0,965.0,654,Cut'n'Shut,Wraith,Prata,2019
02-04-2019,Royce,São Paulo,112750,80890,50.0,475.0,987,Bright Orange,Prata Ghost,Verde,2019
02-05-2019,Royce,São Paulo,132750,67000,1000.0,1725.0,654,Honest John,Camargue,Preto,2019
02-06-2019,Royce,São Paulo,181250,80890,50.0,1725.0,321,Aldo Motors,Prata Shadow,Vermelho,2019
02-07-2019,Royce,São Paulo,112750,67000,1800.0,475.0,951,Aldo Motors,Prata Seraph,Vermelho,2019
02-08-2019,Royce,São Paulo,105250,67000,50.0,975.0,987,Honest John,Prata Ghost,Preto,2019
02-09-2019,Royce,São Paulo,132750,67000,50.0,425.0,750,Bright Orange,Prata Shadow,Verde,2019
02-10-2019,Royce,São Paulo,181250,80890,50.0,1725.0,654,Wheels'R'Us,Camargue,Púrpura,2019
02-11-2019,Royce,São Paulo,181250,80890,800.0,1725.0,987,Cut'n'Shut,Prata Seraph,Preto,2019
02-12-2019,Royce,São Paulo,132750,80890,50.0,1725.0,321,Wheels'R'Us,Prata Ghost,Vermelho,2019
02-01-2019,Royce,São Paulo,181250,67000,50.0,475.0,654,Wheels'R'Us,Phantom,Verde,2019
02-02-2019,Aston Martin,São Paulo,181250,80890,50.0,475.0,987,Cut'n'Shut,DB9,Púrpura,2019
02-03-2019,Aston Martin,São Paulo,112750,80890,50.0,475.0,963,Cut'n'Shut,DB4,Preto,2019
02-04-2019,Aston Martin,São Paulo,181250,80890,50.0,50.0,852,Bright Orange,DB9,Preto,2019
02-05-2019,Aston Martin,São Paulo,112750,80890,50.01,475.0,147,Bright Orange,DB4,Azul,2019
02-06-2019,Aston Martin,São Paulo,105250,80890,800.0,425.0,852,Honest John,DB4,Prata,2019
02-07-2019,Aston Martin,São Paulo,181250,67000,1050.0,425.0,654,Aldo Motors,Vanquish,Prata,2019
02-08-2019,Aston Martin,São Paulo,127250,67000,1300.0,425.0,984,Aldo Motors,Vanquish,Verde,2019
02-09-2019,Aston Martin,São Paulo,132750,67000,50.0,75.0,895,Honest John,DB9,Prata,2019
02-10-2019,Aston Martin,São Paulo,112750,67000,50.0,425.0,486,Bright Orange,DB9,Azul,2019
02-11-2019,Aston Martin,São Paulo,181250,67000,50.0,1725.0,325,Wheels'R'Us,Vanquish,Vermelho,2019
02-12-2019,Aston Martin,São Paulo,132750,130000,50.0,1725.0,658,Cut'n'Shut,Rapide,Vermelho,2019
01-01-2018,Aston Martin,Rio de Janeiro,112750,130000,550.0,425.0,752,Rocky Riding,Vanquish,Vermelho,2018
01-02-2018,Jaguar,Rio de Janeiro,46750,30000,550.0,425.0,486,Rocky Riding,XK,Púrpura,2018
01-03-2018,Jaguar,Espírito Santo,47750,42500,550.0,75.0,486,Voitures Diplomatiques S.A.,XJ6,Verde,2018
01-04-2018,Jaguar,Minas Gerais,42250,30000,550.0,475.0,486,Les Arnaqueurs,XJ12,Preto,2018
01-05-2018,Jaguar,São Paulo,46750,42500,550.0,475.0,486,Bright Orange,XK,Prata,2018
01-06-2018,Jaguar,São Paulo,46750,30000,550.0,475.0,486,Honest John,XJ12,Prata,2018
01-07-2018,Jaguar,São Paulo,42250,42500,550.0,1725.0,486,Wheels'R'Us,XK,Prata,2018
01-08-2018,Jaguar,São Paulo,46750,30000,800.0,475.0,486,Cut'n'Shut,XK,Verde,2018
01-09-2018,Jaguar,Rio de Janeiro,112750,55000,800.0,1725.0,486,Rocky Riding,XJ12,Azul,2018
01-10-2018,Jaguar,Espírito Santo,112750,30000,800.0,1725.0,987,Voitures Diplomatiques S.A.,XJ12,Prata,2018
01-11-2018,Jaguar,São Paulo,46750,42500,50.0,475.0,987,Aldo Motors,XJ6,Verde,2018
01-12-2018,Jaguar,São Paulo,42250,30000,50.0,475.0,987,Aldo Motors,XK,Púrpura,2018
02-01-2019,Jaguar,São Paulo,46750,42500,50.0,1725.0,987,Honest John,XK,Prata,2019
02-02-2019,Jaguar,São Paulo,46750,30000,50.0,475.0,987,Bright Orange,XK,Verde,2019
02-03-2019,Jaguar,São Paulo,46750,42500,800.0,475.0,987,Cut'n'Shut,XK,Púrpura,2019
02-04-2019,Jaguar,São Paulo,42250,30000,800.0,475.0,987,Wheels'R'Us,XJ6,Vermelho,2019
02-05-2019,Jaguar,São Paulo,112750,42500,800.0,475.0,987,Crippen & Co,XJ6,Vermelho,2019
02-06-2019,Jaguar,Espírito Santo,46750,30000,550.0,425.0,987,Voitures Diplomatiques S.A.,XJ6,Vermelho,2019
02-07-2019,Jaguar,Rio de Janeiro,42250,42500,550.0,425.0,987,Rocky Riding,XK,Púrpura,2019
02-08-2019,Jaguar,São Paulo,42250,30000,550.0,425.0,750,Crippen & Co,XK,Verde,2019
02-09-2019,Jaguar,Minas Gerais,42250,17500,550.0,475.0,750,Les Arnaqueurs,XK,Preto,2019
02-10-2019,Jaguar,São Paulo,42250,30000,800.0,475.0,750,Wheels'R'Us,XK,Prata,2019
02-11-2019,Jaguar,São Paulo,42250,42500,800.0,475.0,750,Wheels'R'Us,XK,Prata,2019
02-12-2019,Jaguar,São Paulo,42250,30000,800.0,475.0,1250,Cut'n'Shut,XK,Prata,2019
01-01-2018,Jaguar,São Paulo,42250,42500,800.0,475.0,1250,Cut'n'Shut,XJ6,Verde,2018
01-02-2018,Bentley,São Paulo,42250,30700,800.0,475.0,1250,Bright Orange,Continental,Azul,2018
01-03-2018,Bentley,São Paulo,46750,30700,800.0,475.0,1250,Bright Orange,Arnage,Prata,2018
01-04-2018,Bentley,São Paulo,46750,30700,800.0,750.0,987,Honest John,Azure,Vermelho,2018
01-05-2018,Bentley,São Paulo,112750,30700,800.0,750.0,1250,Honest John,Turbo R,Vermelho,2018
01-06-2018,Bentley,São Paulo,112750,67000,550.0,750.0,987,Aldo Motors,Continental,Prata,2018
01-07-2018,Bentley,São Paulo,112750,67000,550.0,750.0,1250,Aldo Motors,Continental,Prata,2018
01-08-2018,Bentley,Espírito Santo,112750,30700,550.0,750.0,987,Voitures Diplomatiques S.A.,Continental,Verde,2018
01-09-2018,Bentley,Rio de Janeiro,112750,30700,550.0,750.0,1250,Rocky Riding,Azure,Preto,2018
01-10-2018,Bentley,Minas Gerais,46750,30700,550.0,475.0,987,Les Arnaqueurs,Turbo R,Prata,2018
01-11-2018,Bentley,São Paulo,112750,67000,550.0,425.0,1250,Aldo Motors,Continental,Prata,2018
01-12-2018,Bentley,São Paulo,46750,67000,550.0,425.0,987,Honest John,Continental,Prata,2018
02-01-2019,Bentley,São Paulo,46750,67000,550.0,425.0,987,Bright Orange,Continental,Azul,2019
02-02-2019,Bentley,São Paulo,112750,30700,550.0,475.0,1250,Cut'n'Shut,Continental,Azul,2019
02-03-2019,Bentley,São Paulo,112750,30700,550.0,750.0,750,Wheels'R'Us,Continental,Verde,2019
02-04-2019,Bentley,Minas Gerais,44000,30700,550.0,750.0,750,Les Arnaqueurs,Azure,Azul,2019
02-05-2019,Bentley,São Paulo,112750,30700,550.0,750.0,750,Crippen & Co,Turbo R,Vermelho,2019
02-06-2019,Bentley,Rio de Janeiro,42250,67000,550.0,475.0,750,Rocky Riding,Turbo R,Vermelho,2019
02-07-2019,Bentley,São Paulo,42250,67000,550.0,475.0,486,Aldo Motors,Continental,Vermelho,2019
02-08-2019,Bentley,São Paulo,42250,30700,550.0,750.0,486,Honest John,Continental,Púrpura,2019
02-09-2019,Bentley,Minas Gerais,44000,67000,1300.0,425.0,486,Les Arnaqueurs,Continental,Púrpura,2019
02-10-2019,Bentley,São Paulo,42250,67000,1050.0,425.0,486,Wheels'R'Us,Continental,Verde,2019
02-11-2019,Bentley,São Paulo,46750,67000,1050.0,425.0,486,Honest John,Continental,Preto,2019
02-12-2019,Bentley,São Paulo,46750,30700,1050.0,425.0,486,Aldo Motors,Azure,Azul,2019
02-01-2019,Bentley,Paraná,46750,30700,200.0,25.0,486,Costa Del Speed,Turbo R,Prata,2019
02-02-2019,Jaguar,Bahia,32500,42500,200.0,25.0,486,Karz,XK,Vermelho,2019
02-03-2019,TVR,Paraná,44000,42500,200.0,25.0,325,Costa Del Speed,Tuscan,Azul,2019
02-04-2019,Jaguar,Bahia,42250,42500,200.0,25.0,325,Karz,XK,Verde,2019
02-05-2019,TVR,Espírito Santo,32500,42500,200.0,25.0,325,Voitures Diplomatiques S.A.,Cerbera,Prata,2019
02-06-2019,Jaguar,Rio de Janeiro,122750,42500,200.0,25.0,325,Rocky Riding,XK,Prata,2019
02-07-2019,TVR,São Paulo,32500,42500,200.0,25.0,325,Honest John,Tuscan,Azul,2019
