EmissãoNotaFiscal,Marca,Local,Venda,Custo,Desconto,CustoDeEntrega,CustoDeMaoDeObra,Cliente,Model,Color,Year
02-08-2019,Jaguar,Minas Gerais,44000,42500,200.0,25.0,325,Les Arnaqueurs,XK,Prata,2019
02-09-2019,TVR,São Paulo,32500,42500,200.0,25.0,325,Wheels'R'Us,Cerbera,Prata,2019
02-10-2019,Jaguar,Rio de Janeiro,42250,42500,200.0,25.0,325,Rocky Riding,XK,Vermelho,2019
02-11-2019,TVR,São Paulo,44000,42500,200.0,25.0,325,Wheels'R'Us,Tuscan,Azul,2019
02-12-2019,Jaguar,São Paulo,32500,42500,200.0,25.0,325,Bright Orange,XK,Azul,2019
02-01-2019,Jaguar,São Paulo,44000,42500,200.0,25.0,325,Olde Englande,XJ6,Azul,2019
02-02-2019,Jaguar,São Paulo,42250,30700,200.0,25.0,250,Impressive Wheels,XJ6,Púrpura,2019
02-03-2019,Jaguar,São Paulo,42250,30700,200.0,25.0,250,Olde Englande,XJ6,Verde,2019
02-04-2019,Jaguar,São Paulo,42250,30700,200.0,25.0,250,Smooth Riders,XJ6,Preto,2019
02-05-2019,Jaguar,São Paulo,42250,67000,200.0,25.0,250,Luxury Rentals,XK,Vermelho,2019
02-06-2019,Jaguar,São Paulo,44000,67000,200.0,25.0,250,Premium Motor Vehicles,XK,Prata,2019
02-07-2019,Jaguar,São Paulo,44000,30700,200.0,25.0,250,Luxury Rentals,XJ6,Prata,2019
02-08-2019,Jaguar,São Paulo,42250,30700,200.0,25.0,250,Aldo Motors,XJ6,Prata,2019
02-09-2019,Jaguar,São Paulo,42250,30700,200.0,25.0,250,Honest John,XK,Prata,2019
02-10-2019,Jaguar,São Paulo,42250,67000,200.0,25.0,250,Honest John,XK,Prata,2019
02-11-2019,Jaguar,São Paulo,42250,30700,200.0,25.0,250,Bright Orange,XJ6,Prata,2019
02-12-2019,Jaguar,São Paulo,44000,67000,200.0,25.0,250,Cut'n'Shut,XK,Azul,2019
02-01-2019,Jaguar,São Paulo,44000,67000,200.0,25.0,250,Wheels'R'Us,XK,Azul,2019
02-02-2019,MGB,São Paulo,42250,9500,200.0,25.0,325,Olde Englande,GT,Vermelho,2019
02-03-2019,MGB,São Paulo,42250,13500,200.0,25.0,325,Wheels'R'Us,GT,Verde,2019
02-04-2019,MGB,São Paulo,28000,9500,200.0,25.0,325,Wheels'R'Us,GT,Vermelho,2019
02-05-2019,MGB,São Paulo,25250,13500,200.0,25.0,325,Cut'n'Shut,GT,Vermelho,2019
02-06-2019,MGB,São Paulo,25250,9500,200.0,50.0,325,Cut'n'Shut,GT,Vermelho,2019
02-07-2019,MGB,São Paulo,25250,13500,200.0,25.0,325,Bright Orange,GT,Vermelho,2019
02-08-2019,MGB,São Paulo,28000,9500,200.0,25.0,325,Honest John,GT,Azul,2019
02-09-2019,MGB,São Paulo,25250,13500,200.0,25.0,325,Aldo Motors,GT,Verde,2019
02-10-2019,MGB,São Paulo,28000,9500,200.0,50.0,325,Honest John,GT,Prata,2019
02-11-2019,MGB,São Paulo,25250,13500,200.0,25.0,325,Bright Orange,GT,Prata,2019
02-12-2019,MGB,São Paulo,28000,9500,200.0,25.0,325,Aldo Motors,GT,Azul,2019
02-01-2019,MGB,São Paulo,25250,9500,200.0,25.0,325,Luxury Rentals,GT,Verde,2019
02-02-2019,Triumph,São Paulo,25250,13500,200.0,25.0,325,Smooth Riders,TR4,Preto,2019
02-03-2019,Triumph,São Paulo,28000,22000,200.0,25.0,325,Honest John,TR5,Púrpura,2019
02-04-2019,Triumph,São Paulo,25250,13500,200.0,50.0,325,Impressive Wheels,TR7,Verde,2019
02-05-2019,Triumph,São Paulo,25250,22000,200.0,25.0,325,Bright Orange,TR4,Azul,2019
02-06-2019,Triumph,Paraná,25250,13500,200.0,25.0,325,Costa Del Speed,TR4,Prata,2019
02-07-2019,Triumph,São Paulo,25250,22000,200.0,25.0,325,Cut'n'Shut,TR5,Prata,2019
02-08-2019,Triumph,São Paulo,28000,22000,200.0,50.0,325,Wheels'R'Us,TR5,Azul,2019
02-09-2019,Triumph,São Paulo,25250,22000,200.0,25.0,325,Olde Englande,TR4,Azul,2019
02-10-2019,Triumph,São Paulo,28000,22000,200.0,25.0,325,Impressive Wheels,TR4,Vermelho,2019
02-11-2019,Triumph,São Paulo,28000,22000,200.0,25.0,325,Cut'n'Shut,TR7,Vermelho,2019
02-12-2019,Triumph,São Paulo,28000,22000,200.0,25.0,325,Bright Orange,TR4,Verde,2019
09-01-2019,Triumph,Minas Gerais,28000,22000,550.0,950.0,450,Chateau Moi,TR5,Prata,2019
10-01-2019,Aston Martin,Minas Gerais,77250,36125,1300.0,950.0,1250,Vive la Vitesse!,DB7,Vermelho,2019
11-02-2019,Aston Martin,Minas Gerais,72000,22500,550.0,950.0,1250,Carosse Des Papes,DB7,Azul,2019
12-03-2019,Aston Martin,Espírito Santo,25500,27500,1050.0,950.0,950,Three Country Cars,Vantage,Verde,2019
13-03-2019,Aston Martin,Espírito Santo,39750,22500,800.0,950.0,1250,Jungfrau,Vantage,Prata,2019
14-03-2019,Royce,Minas Gerais,77250,36125,1050.0,950.0,1250,Chateau Moi,Camargue,Prata,2019
15-04-2019,Aston Martin,Minas Gerais,48550,22500,2550.0,325.0,950,Vive la Vitesse!,DB7,Azul,2019
16-04-2019,Royce,Minas Gerais,25500,27500,1300.0,325.0,1250,Carosse Des Papes,Camargue,Preto,2019
17-05-2019,Aston Martin,Espírito Santo,48550,22500,1050.0,325.0,1250,Three Country Cars,Vantage,Vermelho,2019
18-05-2019,Aston Martin,Espírito Santo,39750,22500,550.0,950.0,1250,Jungfrau,DB7,Azul,2019
19-05-2019,Aston Martin,Minas Gerais,48550,22500,1050.0,,1250,Chateau Moi,Vantage,Verde,2019
20-06-2019,Aston Martin,Minas Gerais,40440,27500,2550.0,950.0,950,Vive la Vitesse!,DB7,Prata,2019
21-07-2019,Aston Martin,Minas Gerais,77250,22500,1300.0,950.0,1250,Carosse Des Papes,Vantage,Prata,2019
22-07-2019,Royce,Espírito Santo,48550,22500,1050.0,250.0,1250,Three Country Cars,Camargue,Púrpura,2019
23-09-2019,Aston Martin,Espírito Santo,39750,27500,1300.0,,1250,Jungfrau,DB7,Preto,2019
24-10-2019,Aston Martin,Espírito Santo,40440,22500,550.0,250.0,1250,Jungfrau,DB9,Vermelho,2019
25-11-2019,Royce,Minas Gerais,72000,22500,1050.0,,950,Vive la Vitesse!,Camargue,Azul,2019
26-11-2019,Aston Martin,Espírito Santo,40440,36125,800.0,950.0,1250,Jungfrau,DB9,Verde,2019
27-11-2019,Aston Martin,Minas Gerais,77250,22500,550.0,950.0,1250,Carosse Des Papes,DB7,Prata,2019
04-10-2018,Aston Martin,Rio de Janeiro,40440,22500,550.0,650.0,1250,Ambassador Cars,DB9,Prata,2018
04-10-2018,Royce,Rio de Janeiro,97750,55000,550.0,650.0,750,Ambassador Cars,Camargue,Prata,2018
01-01-2018,Aston Martin,Rio de Janeiro,122750,80000,50.0,1400.0,550,Embassy Motors,DB9,Azul,2018
02-02-2018,Royce,Rio de Janeiro,90750,80000,800.0,900.0,550,Style ‘N Ride,Camargue,Verde,2018
03-03-2018,Royce,Rio de Janeiro,91750,93000,50.0,900.0,550,Embassy Motors,Camargue,Azul,2018
04-04-2018,Royce,Rio de Janeiro,94750,67000,50.0,1400.0,550,Sporty Types Corp,Camargue,Prata,2018
04-05-2018,Royce,Rio de Janeiro,105250,130000,50.0,900.0,550,BritWheels,Camargue,Verde,2018
04-06-2018,Aston Martin,Rio de Janeiro,112750,61000,800.0,400.0,550,Style ‘N Ride,DB9,Púrpura,2018
04-07-2018,Aston Martin,Rio de Janeiro,127750,28500,2550.0,900.0,550,Tweedy Wheels,DB9,Vermelho,2018
04-08-2018,Aston Martin,Rio de Janeiro,132750,20500,50.0,900.0,750,Ambassador Cars,DB9,Azul,2018
04-09-2018,Aston Martin,Rio de Janeiro,77750,80890,150.0,900.0,750,Ambassador Cars,DB9,Prata,2018
04-11-2018,Aston Martin,Rio de Janeiro,71250,104000,50.0,1400.0,750,Tweedy Wheels,DB9,Azul,2018
04-11-2018,Aston Martin,Rio de Janeiro,97750,130000,50.0,1400.0,750,Sporty Types Corp,DB9,Prata,2018
04-12-2018,Aston Martin,Rio de Janeiro,157750,130000,5050.0,1400.0,750,Style ‘N Ride,DB9,Prata,2018
04-12-2018,Aston Martin,Rio de Janeiro,97750,160000,50.0,1400.0,570,BritWheels,DB9,Preto,2018
02-01-2019,Aston Martin,Rio de Janeiro,181250,130000,50.0,1650.0,570,Tweedy Wheels,DB9,Verde,2019
02-02-2019,Royce,Rio de Janeiro,132750,67000,50.0,1650.0,570,Sporty Types Corp,Camargue,Prata,2019
02-03-2019,Royce,Rio de Janeiro,181250,67000,50.0,890.0,654,BritWheels,Camargue,Prata,2019
02-04-2019,Royce,Rio de Janeiro,112750,80890,50.0,400.0,987,Style ‘N Ride,Camargue,Verde,2019
02-05-2019,Royce,Rio de Janeiro,132750,67000,1000.0,1650.0,654,Embassy Motors,Camargue,Preto,2019
02-06-2019,Royce,Rio de Janeiro,181250,80890,50.0,1650.0,321,Ambassador Cars,Camargue,Vermelho,2019
02-07-2019,Royce,Rio de Janeiro,112750,67000,1800.0,400.0,951,Ambassador Cars,Camargue,Vermelho,2019
02-08-2019,Royce,Rio de Janeiro,105250,67000,50.0,900.0,987,Embassy Motors,Camargue,Preto,2019
02-09-2019,Royce,Rio de Janeiro,132750,67000,50.0,350.0,750,Style ‘N Ride,Camargue,Verde,2019
02-10-2019,Royce,Rio de Janeiro,181250,80890,50.0,1650.0,654,Sporty Types Corp,Camargue,Púrpura,2019
02-11-2019,Royce,Rio de Janeiro,181250,80890,800.0,1650.0,987,BritWheels,Camargue,Preto,2019
02-12-2019,Royce,Rio de Janeiro,132750,80890,50.0,1650.0,321,Sporty Types Corp,Camargue,Vermelho,2019
02-01-2019,Royce,Rio de Janeiro,181250,67000,50.0,400.0,654,Sporty Types Corp,Camargue,Verde,2019
02-02-2019,Aston Martin,Rio de Janeiro,181250,80890,50.0,400.0,987,BritWheels,DB9,Púrpura,2019
02-03-2019,Aston Martin,Rio de Janeiro,112750,80890,50.0,400.0,963,BritWheels,DB9,Preto,2019
02-04-2019,Aston Martin,Rio de Janeiro,181250,80890,50.0,50.0,852,Style ‘N Ride,DB9,Preto,2019
02-05-2019,Aston Martin,Rio de Janeiro,112750,80890,45.0,400.0,147,Ambassador Cars,DB9,Azul,2019
02-06-2019,Aston Martin,Rio de Janeiro,105250,80890,800.0,350.0,852,Embassy Motors,DB9,Prata,2019
02-07-2019,Aston Martin,Rio de Janeiro,181250,67000,500.0,350.0,654,Style ‘N Ride,DB9,Prata,2019
02-08-2019,Aston Martin,Rio de Janeiro,127250,67000,1300.0,350.0,984,Sporty Types Corp,DB9,Verde,2019
02-09-2019,Aston Martin,Rio de Janeiro,132750,67000,50.0,,895,BritWheels,DB9,Prata,2019
02-10-2019,Aston Martin,Rio de Janeiro,112750,67000,50.0,350.0,486,Sporty Types Corp,DB9,Azul,2019
02-11-2019,Aston Martin,Rio de Janeiro,181250,67000,50.0,1650.0,325,Sporty Types Corp,DB9,Vermelho,2019
02-12-2019,Aston Martin,Rio de Janeiro,132750,130000,50.0,1650.0,658,BritWheels,DB9,Vermelho,2019
01-01-2018,Aston Martin,Rio de Janeiro,112750,130000,550.0,350.0,752,Ambassador Cars,DB9,Vermelho,2018
01-02-2018,Jaguar,Rio de Janeiro,46750,30000,550.0,350.0,486,Ambassador Cars,XK,Púrpura,2018
01-03-2018,Jaguar,Rio de Janeiro,47750,42500,50.0,,486,Ambassador Cars,XK,Verde,2018
01-04-2018,Jaguar,Rio de Janeiro,42250,30000,50.0,400.0,486,Ambassador Cars,XK,Preto,2018
01-05-2018,Jaguar,Rio de Janeiro,46750,42500,50.0,400.0,486,Style ‘N Ride,XK,Prata,2018
01-06-2018,Jaguar,Rio de Janeiro,46750,30000,550.0,400.0,486,Sporty Types Corp,XK,Prata,2018
01-07-2018,Jaguar,Rio de Janeiro,42250,42500,550.0,1650.0,486,BritWheels,XK,Prata,2018
01-08-2018,Jaguar,Rio de Janeiro,46750,30000,800.0,400.0,486,Sporty Types Corp,XK,Verde,2018
01-09-2018,Jaguar,Rio de Janeiro,112750,55000,650.0,1650.0,486,Sporty Types Corp,XK,Azul,2018
01-10-2018,Jaguar,Rio de Janeiro,112750,30000,800.0,1650.0,987,BritWheels,XK,Prata,2018
01-11-2018,Jaguar,Rio de Janeiro,46750,42500,50.0,400.0,987,BritWheels,XK,Verde,2018
01-12-2018,Jaguar,Rio de Janeiro,42250,30000,50.0,400.0,987,Ambassador Cars,XK,Púrpura,2018
02-01-2019,Jaguar,Rio de Janeiro,46750,42500,50.0,1650.0,987,Embassy Motors,XK,Prata,2019
02-02-2019,Jaguar,Rio de Janeiro,46750,30000,50.0,400.0,987,Style ‘N Ride,XK,Verde,2019
02-03-2019,Jaguar,Rio de Janeiro,46750,42500,800.0,400.0,987,BritWheels,XK,Púrpura,2019
02-04-2019,Jaguar,Rio de Janeiro,42250,30000,650.0,400.0,987,Sporty Types Corp,XK,Vermelho,2019
02-05-2019,Jaguar,Rio de Janeiro,112750,42500,650.0,400.0,987,Union Jack Sports Cars,XK,Vermelho,2019
02-06-2019,Jaguar,Rio de Janeiro,46750,30000,550.0,350.0,987,British Luxury Automobile Corp,XK,Vermelho,2019
02-07-2019,Jaguar,Rio de Janeiro,42250,42500,550.0,350.0,987,Buckingham Palace Car Services,XK,Púrpura,2019
02-08-2019,Jaguar,Rio de Janeiro,42250,30000,550.0,350.0,750,Union Jack Sports Cars,XK,Verde,2019
02-09-2019,Jaguar,Rio de Janeiro,42250,17500,550.0,400.0,750,Tweedy Wheels,XK,Preto,2019
02-10-2019,Jaguar,Rio de Janeiro,42250,30000,650.0,400.0,750,Sporty Types Corp,XK,Prata,2019
02-11-2019,Jaguar,Rio de Janeiro,42250,42500,800.0,400.0,750,Sporty Types Corp,XK,Prata,2019
02-12-2019,Jaguar,Rio de Janeiro,42250,30000,800.0,400.0,1250,BritWheels,XK,Prata,2019
01-01-2018,Jaguar,Rio de Janeiro,42250,42500,650.0,400.0,1250,BritWheels,XK,Verde,2018
01-02-2018,Bentley,Rio de Janeiro,42250,30700,800.0,400.0,1250,Style ‘N Ride,Continental,Azul,2018
01-03-2018,Bentley,Rio de Janeiro,46750,30700,800.0,400.0,1250,Style ‘N Ride,Continental,Prata,2018
01-04-2018,Bentley,Rio de Janeiro,46750,30700,650.0,675.0,987,Embassy Motors,Continental,Vermelho,2018
01-05-2018,Bentley,Rio de Janeiro,112750,30700,800.0,675.0,1250,Embassy Motors,Continental,Vermelho,2018
01-06-2018,Bentley,Rio de Janeiro,112750,67000,550.0,675.0,987,Ambassador Cars,Continental,Prata,2018
01-07-2018,Bentley,Rio de Janeiro,112750,67000,550.0,675.0,1250,Ambassador Cars,Continental,Prata,2018
01-08-2018,Bentley,Rio de Janeiro,112750,30700,550.0,675.0,987,British Luxury Automobile Corp,Continental,Verde,2018
01-09-2018,Bentley,Rio de Janeiro,112750,30700,550.0,675.0,1250,Buckingham Palace Car Services,Continental,Preto,2018
01-10-2018,Bentley,Rio de Janeiro,46750,30700,550.0,400.0,987,Tweedy Wheels,Continental,Prata,2018
01-11-2018,Bentley,Rio de Janeiro,112750,67000,550.0,350.0,1250,Ambassador Cars,Continental,Prata,2018
01-12-2018,Bentley,Rio de Janeiro,46750,67000,550.0,350.0,987,Embassy Motors,Continental,Prata,2018
02-01-2019,Bentley,Rio de Janeiro,46750,67000,400.0,350.0,987,Style ‘N Ride,Continental,Azul,2019
02-02-2019,Bentley,Rio de Janeiro,112750,30700,550.0,400.0,1250,BritWheels,Continental,Azul,2019
02-03-2019,Bentley,Rio de Janeiro,112750,30700,400.0,675.0,750,Sporty Types Corp,Continental,Verde,2019
02-04-2019,Bentley,Rio de Janeiro,44000,30700,550.0,675.0,750,Tweedy Wheels,Continental,Azul,2019
02-05-2019,Bentley,Rio de Janeiro,112750,30700,550.0,675.0,750,Union Jack Sports Cars,Continental,Vermelho,2019
02-06-2019,Bentley,Rio de Janeiro,42250,67000,400.0,400.0,750,Buckingham Palace Car Services,Continental,Vermelho,2019
02-07-2019,Bentley,Rio de Janeiro,42250,67000,550.0,400.0,486,Ambassador Cars,Continental,Vermelho,2019
02-08-2019,Bentley,Rio de Janeiro,42250,30700,550.0,675.0,486,Embassy Motors,Continental,Púrpura,2019
02-09-2019,Bentley,Rio de Janeiro,44000,67000,1300.0,350.0,486,Tweedy Wheels,Continental,Púrpura,2019
02-10-2019,Bentley,Rio de Janeiro,42250,67000,1050.0,350.0,486,Sporty Types Corp,Continental,Verde,2019
02-11-2019,Bentley,Rio de Janeiro,46750,67000,1050.0,350.0,486,Embassy Motors,Continental,Preto,2019
02-12-2019,Bentley,Rio de Janeiro,46750,30700,1050.0,350.0,486,Ambassador Cars,Continental,Azul,2019
02-02-2019,Jaguar,Rio de Janeiro,32500,42500,200.0,-50.0,486,Classy Car Sales,XK,Vermelho,2019
02-04-2019,Jaguar,Rio de Janeiro,42250,42500,200.0,-50.0,325,Classy Car Sales,XK,Verde,2019
02-05-2019,TVR,Rio de Janeiro,32500,42500,200.0,-50.0,325,British Luxury Automobile Corp,Tuscan,Prata,2019
02-06-2019,Jaguar,Rio de Janeiro,122750,42500,350.0,-50.0,325,Buckingham Palace Car Services,XK,Prata,2019
02-07-2019,TVR,Rio de Janeiro,32500,42500,200.0,-50.0,325,Embassy Motors,Tuscan,Azul,2019
02-08-2019,Jaguar,Rio de Janeiro,44000,42500,200.0,-50.0,325,Tweedy Wheels,XK,Prata,2019
02-09-2019,TVR,Rio de Janeiro,32500,42500,200.0,-50.0,325,Sporty Types Corp,Tuscan,Prata,2019
02-10-2019,Jaguar,Rio de Janeiro,42250,42500,350.0,-50.0,325,Buckingham Palace Car Services,XK,Vermelho,2019
02-11-2019,TVR,Rio de Janeiro,44000,42500,200.0,-50.0,325,Sporty Types Corp,Tuscan,Azul,2019
02-12-2019,Jaguar,Rio de Janeiro,32500,42500,350.0,-50.0,325,Style ‘N Ride,XK,Azul,2019
02-01-2019,Jaguar,Rio de Janeiro,44000,42500,200.0,-50.0,325,BritWheels,XK,Azul,2019
02-02-2019,Jaguar,Rio de Janeiro,42250,30700,200.0,-50.0,250,BritWheels,XK,Púrpura,2019
02-03-2019,Jaguar,Rio de Janeiro,42250,30700,200.0,-50.0,250,BritWheels,XK,Verde,2019
02-04-2019,Jaguar,Rio de Janeiro,42250,30700,200.0,-50.0,250,BritWheels,XK,Preto,2019
02-05-2019,Jaguar,Rio de Janeiro,42250,67000,200.0,-50.0,250,BritWheels,XK,Vermelho,2019
02-06-2019,Jaguar,Rio de Janeiro,44000,67000,200.0,-50.0,250,BritWheels,XK,Prata,2019
02-07-2019,Jaguar,Rio de Janeiro,44000,30700,350.0,-50.0,250,BritWheels,XK,Prata,2019
02-08-2019,Jaguar,Rio de Janeiro,42250,30700,200.0,-50.0,250,Ambassador Cars,XK,Prata,2019
02-09-2019,Jaguar,Rio de Janeiro,42250,30700,200.0,-50.0,250,Embassy Motors,XK,Prata,2019
02-10-2019,Jaguar,Rio de Janeiro,42250,67000,200.0,-50.0,250,Embassy Motors,XK,Prata,2019
02-11-2019,Jaguar,Rio de Janeiro,42250,30700,350.0,-50.0,250,Style ‘N Ride,XK,Prata,2019
02-12-2019,Jaguar,Rio de Janeiro,44000,67000,200.0,-50.0,250,BritWheels,XK,Azul,2019
02-01-2019,Jaguar,Rio de Janeiro,44000,67000,150.0,-50.0,250,Sporty Types Corp,XK,Azul,2019
02-02-2019,MGB,Rio de Janeiro,42250,9500,200.0,-50.0,325,British Luxury Automobile Corp,GT,Vermelho,2019
02-03-2019,MGB,Rio de Janeiro,42250,13500,150.0,-50.0,325,Sporty Types Corp,GT,Verde,2019
02-04-2019,MGB,Rio de Janeiro,28000,9500,350.0,-50.0,325,Sporty Types Corp,GT,Vermelho,2019
02-05-2019,MGB,Rio de Janeiro,25250,13500,200.0,-50.0,325,BritWheels,GT,Vermelho,2019
02-06-2019,MGB,Rio de Janeiro,25250,9500,200.0,50.0,325,BritWheels,GT,Vermelho,2019
02-07-2019,MGB,Rio de Janeiro,25250,13500,150.0,-50.0,325,Style ‘N Ride,GT,Vermelho,2019
02-08-2019,MGB,Rio de Janeiro,28000,9500,350.0,-50.0,325,Embassy Motors,GT,Azul,2019
02-09-2019,MGB,Rio de Janeiro,25250,13500,200.0,-50.0,325,Ambassador Cars,GT,Verde,2019
02-10-2019,MGB,Rio de Janeiro,28000,9500,200.0,50.0,325,Embassy Motors,GT,Prata,2019
02-11-2019,MGB,Rio de Janeiro,25250,13500,200.0,-50.0,325,Style ‘N Ride,GT,Prata,2019
02-12-2019,MGB,Rio de Janeiro,28000,9500,200.0,-50.0,325,Ambassador Cars,GT,Azul,2019
02-01-2019,MGB,Rio de Janeiro,25250,9500,150.0,-50.0,325,Union Jack Sports Cars,GT,Verde,2019
02-02-2019,Triumph,Rio de Janeiro,25250,13500,200.0,-50.0,325,Union Jack Sports Cars,TR4,Preto,2019
02-03-2019,Triumph,Rio de Janeiro,28000,22000,200.0,-50.0,325,Embassy Motors,TR4,Púrpura,2019
02-05-2019,Triumph,Rio de Janeiro,25250,22000,200.0,-50.0,325,Style ‘N Ride,TR4,Azul,2019
02-07-2019,Triumph,Rio de Janeiro,25250,22000,200.0,-50.0,325,BritWheels,TR4,Prata,2019
02-08-2019,Triumph,Rio de Janeiro,28000,22000,200.0,50.0,325,Sporty Types Corp,TR4,Azul,2019
02-09-2019,Triumph,Rio de Janeiro,25250,22000,200.0,-50.0,325,Style ‘N Ride,TR4,Azul,2019
02-10-2019,Triumph,Rio de Janeiro,28000,22000,200.0,-50.0,325,Ambassador Cars,TR4,Vermelho,2019
02-11-2019,Triumph,Rio de Janeiro,28000,22000,200.0,-50.0,325,Classy Car Sales,TR4,Vermelho,2019
02-12-2019,Triumph,Rio de Janeiro,28000,22000,200.0,-50.0,325,British Luxury Automobile Corp,TR4,Verde,2019
09-01-2019,Triumph,Rio de Janeiro,28000,22000,550.0,875.0,450,Embassy Motors,TR4,Prata,2019
10-01-2019,Aston Martin,Rio de Janeiro,77250,36125,1300.0,875.0,1250,BritWheels,DB9,Vermelho,2019
11-02-2019,Aston Martin,Rio de Janeiro,72000,22500,550.0,875.0,1250,Style ‘N Ride,DB9,Azul,2019
12-03-2019,Aston Martin,Rio de Janeiro,25500,27500,1050.0,875.0,950,Classy Car Sales,DB9,Verde,2019
13-03-2019,Aston Martin,Rio de Janeiro,39750,22500,800.0,875.0,1250,Style ‘N Ride,DB9,Prata,2019
14-03-2019,Royce,Rio de Janeiro,77250,36125,1050.0,875.0,1250,Style ‘N Ride,Camargue,Prata,2019
15-04-2019,Aston Martin,Rio de Janeiro,48550,22500,2550.0,250.0,950,Style ‘N Ride,DB9,Azul,2019
16-04-2019,Royce,Rio de Janeiro,25500,27500,1300.0,250.0,1250,Style ‘N Ride,Camargue,Preto,2019
17-05-2019,Aston Martin,Rio de Janeiro,48550,22500,1050.0,250.0,1250,Ambassador Cars,DB9,Vermelho,2019
18-05-2019,Aston Martin,Rio de Janeiro,39750,22500,550.0,875.0,1250,Tweedy Wheels,DB9,Azul,2019
19-05-2019,Aston Martin,Rio de Janeiro,48550,22500,1050.0,-75.0,1250,Embassy Motors,DB9,Verde,2019
20-06-2019,Aston Martin,Rio de Janeiro,40440,27500,2550.0,875.0,950,Union Jack Sports Cars,DB9,Prata,2019
21-07-2019,Aston Martin,Rio de Janeiro,77250,22500,1300.0,875.0,1250,Style ‘N Ride,DB9,Prata,2019
22-07-2019,Royce,Rio de Janeiro,48550,22500,1050.0,175.0,1250,Sporty Types Corp,Camargue,Púrpura,2019
23-09-2019,Aston Martin,Rio de Janeiro,39750,27500,1300.0,-75.0,1250,Buckingham Palace Car Services,DB9,Preto,2019
24-10-2019,Aston Martin,Rio de Janeiro,40440,22500,550.0,175.0,1250,British Luxury Automobile Corp,DB9,Vermelho,2019
25-11-2019,Royce,Rio de Janeiro,72000,22500,1050.0,-75.0,950,Classy Car Sales,Camargue,Azul,2019
26-11-2019,Aston Martin,Rio de Janeiro,40440,36125,800.0,875.0,1250,Ambassador Cars,DB9,Verde,2019
27-11-2019,Aston Martin,Rio de Janeiro,77250,22500,550.0,875.0,1250,Embassy Motors,DB9,Prata,2019
